Y,X,H
39475655,3849597,349.08741008611
39475688.882206,3849597,349.09336273721
39475722.764411,3849597,349.10005096321
39475756.646617,3849597,349.10750338467
39475790.528822,3849597,349.11574976891
39475824.411028,3849597,349.12482107829
39475858.293233,3849597,349.13474952041
39475892.175439,3849597,349.14556860035
39475926.057644,3849597,349.15731317496
39475959.93985,3849597,349.17001950937
39475993.822055,3849597,349.18372533559
39476027.704261,3849597,349.19846991348
39476061.586466,3849597,349.21429409388
39476095.468672,3849597,349.23124038415
39476129.350877,3849597,349.24935301608
39476163.233083,3849597,349.26867801612
39476197.115288,3849597,349.28926327814
39476230.997494,3849597,349.31115863845
39476264.879699,3849597,349.33441595336
39476298.761905,3849597,349.35908917907
39476332.64411,3849597,349.38523445391
39476366.526316,3849597,349.4129101829
39476400.408521,3849597,349.44217712452
39476434.290727,3849597,349.47309847957
39476468.172932,3849597,349.50573998209
39476502.055138,3849597,349.54016999198
39476535.937343,3849597,349.57645958941
39476569.819549,3849597,349.61468267045
39476603.701754,3849597,349.65491604392
39476637.58396,3849597,349.697239529
39476671.466165,3849597,349.74173605316
39476705.348371,3849597,349.78849175005
39476739.230576,3849597,349.83759605692
39476773.112782,3849597,349.88914181065
39476806.994987,3849597,349.9432253421
39476840.877193,3849597,349.99994656781
39476874.759398,3849597,350.05940907813
39476908.641604,3849597,350.12172022101
39476942.52381,3849597,350.18699118019
39476976.406015,3849597,350.25533704674
39477010.288221,3849597,350.32687688238
39477044.170426,3849597,350.40173377335
39477078.052632,3849597,350.48003487315
39477111.934837,3849597,350.56191143214
39477145.817043,3849597,350.64749881239
39477179.699248,3849597,350.73693648558
39477213.581454,3849597,350.83036801136
39477247.463659,3849597,350.92794099422
39477281.345865,3849597,351.02980701599
39477315.22807,3849597,351.13612154104
39477349.110276,3849597,351.24704379157
39477382.992481,3849597,351.36273658981
39477416.874687,3849597,351.48336616367
39477450.756892,3849597,351.60910191288
39477484.639098,3849597,351.74011613215
39477518.521303,3849597,351.87658368791
39477552.403509,3849597,352.01868164506
39477586.285714,3849597,352.16658884088
39477620.16792,3849597,352.32048540269
39477654.050125,3849597,352.480552206
39477687.932331,3849597,352.64697027113
39477721.814536,3849597,352.81992009577
39477755.696742,3849597,352.99958092143
39477789.578947,3849597,353.18612993326
39477823.461153,3849597,353.37974139264
39477857.343358,3849597,353.58058570269
39477891.225564,3849597,353.78882840883
39477925.107769,3849597,354.00462913682
39477958.989975,3849597,354.2281404717
39477992.87218,3849597,354.45950678375
39478026.754386,3849597,354.69886300754
39478060.636591,3849597,354.94633338288
39478094.518797,3849597,355.20203016685
39478128.401003,3849597,355.46605232926
39478162.283208,3849597,355.73848424438
39478196.165414,3849597,356.01939439296
39478230.047619,3849597,356.30883409162
39478263.929825,3849597,356.6068362665
39478297.81203,3849597,356.9134142889
39478331.694236,3849597,357.22856089308
39478365.576441,3849597,357.55224719514
39478399.458647,3849597,357.88442183195
39478433.340852,3849597,358.22501024034
39478467.223058,3849597,358.57391409383
39478501.105263,3849597,358.93101091458
39478534.987469,3849597,359.29615387434
39478568.869674,3849597,359.66917179882
39478602.75188,3849597,360.04986938467
39478636.634085,3849597,360.4380276354
39478670.516291,3849597,360.83340452118
39478704.398496,3849597,361.2357358618
39478738.280702,3849597,361.64473642777
39478772.162907,3849597,362.06010125359
39478806.045113,3849597,362.48150715066
39478839.927318,3849597,362.90861440372
39478873.809524,3849597,363.34106863388
39478907.691729,3849597,363.77850280583
39478941.573935,3849597,364.22053935418
39478975.45614,3849597,364.66679240457
39479009.338346,3849597,365.11687006049
39479043.220551,3849597,365.57037672854
39479077.102757,3849597,366.02691545187
39479110.984962,3849597,366.48609022576
39479144.867168,3849597,366.9475082669
39479178.749373,3849597,367.41078221025
39479212.631579,3849597,367.87553221132
39479246.513784,3849597,368.34138793208
39479280.39599,3849597,368.80799039094
39479314.278195,3849597,369.27499366328
39479348.160401,3849597,369.74206641923
39479382.042607,3849597,370.20889328868
39479415.924812,3849597,370.67517604932
39479449.807018,3849597,371.14063463322
39479483.689223,3849597,371.60500795306
39479517.571429,3849597,372.06805454881
39479551.453634,3849597,372.52955306193
39479585.33584,3849597,372.98930254301
39479619.218045,3849597,373.44712260085
39479653.100251,3849597,373.90285340498
39479686.982456,3849597,374.35635555204
39479720.864662,3849597,374.8075098073
39479754.746867,3849597,375.25621673576
39479788.629073,3849597,375.70239623476
39479822.511278,3849597,376.14598698022
39479856.393484,3849597,376.58694580079
39479890.275689,3849597,377.02524699145
39479924.157895,3849597,377.46088157726
39479958.0401,3849597,377.89385654037
39479991.922306,3849597,378.32419401899
39480025.804511,3849597,378.75193048905
39480059.686717,3849597,379.17711593592
39480093.568922,3849597,379.59981302582
39480127.451128,3849597,380.02009628332
39480161.333333,3849597,380.4380512804
39480195.215539,3849597,380.85377384446
