Y,X,H
39475655,3849597,352.63239845205
39475688.882206,3849597,352.40636507084
39475722.764411,3849597,352.17896264872
39475756.646617,3849597,351.95018030938
39475790.528822,3849597,351.72000708966
39475824.411028,3849597,351.48843193936
39475858.293233,3849597,351.25544372089
39475892.175439,3849597,351.02103120959
39475926.057644,3849597,350.78518309346
39475959.93985,3849597,350.54788797328
39475993.822055,3849597,350.30913436245
39476027.704261,3849597,350.06891068737
39476061.586466,3849597,349.82720528745
39476095.468672,3849597,349.58400641508
39476129.350877,3849597,349.33930223618
39476163.233083,3849597,349.09308083032
39476197.115288,3849597,348.84533019088
39476230.997494,3849597,348.59603822572
39476264.879699,3849597,348.34519275746
39476298.761905,3849597,348.09278152382
39476332.64411,3849597,347.83879217847
39476366.526316,3849597,347.58321229151
39476400.408521,3849597,347.32602934998
39476434.290727,3849597,347.06723075892
39476468.172932,3849597,346.80680384202
39476502.055138,3849597,346.54473584263
39476535.937343,3849597,346.28101392451
39476569.819549,3849597,346.01562517326
39476603.701754,3849597,345.74855659734
39476637.58396,3849597,345.4797951291
39476671.466165,3849597,345.20932762659
39476705.348371,3849597,344.93714087474
39476739.230576,3849597,344.66322158685
39476773.112782,3849597,344.38755640659
39476806.994987,3849597,344.11013190965
39476840.877193,3849597,343.83093460548
39476874.759398,3849597,343.54995093971
39476908.641604,3849597,343.26716729613
39476942.52381,3849597,342.98256999917
39476976.406015,3849597,342.69614531608
39477010.288221,3849597,342.40787946003
39477044.170426,3849597,342.11775859268
39477078.052632,3849597,341.82576882698
39477111.934837,3849597,341.53189623076
39477145.817043,3849597,341.23612682981
39477179.699248,3849597,340.9384466113
39477213.581454,3849597,340.63884152785
39477247.463659,3849597,340.33729750137
39477281.345865,3849597,340.03380042696
39477315.22807,3849597,339.72833617779
39477349.110276,3849597,339.42089060952
39477382.992481,3849597,339.11144956503
39477416.874687,3849597,338.79999887997
39477450.756892,3849597,338.486524388
39477484.639098,3849597,338.17101192663
39477518.521303,3849597,337.85344734298
39477552.403509,3849597,337.53381650061
39477586.285714,3849597,337.21210528596
39477620.16792,3849597,336.88829961521
39477654.050125,3849597,336.56238544208
39477687.932331,3849597,336.23434876542
39477721.814536,3849597,335.90417563716
39477755.696742,3849597,335.5718521713
39477789.578947,3849597,335.23736455277
39477823.461153,3849597,334.9006990466
39477857.343358,3849597,334.56184200836
39477891.225564,3849597,334.22077989429
39477925.107769,3849597,333.8774992721
39477958.989975,3849597,333.5319868328
39477992.87218,3849597,333.1842294025
39478026.754386,3849597,332.83421395511
39478060.636591,3849597,332.4819276253
39478094.518797,3849597,332.12735772281
39478128.401003,3849597,331.77049174671
39478162.283208,3849597,331.41131740044
39478196.165414,3849597,331.04982260815
39478230.047619,3849597,330.68599553121
39478263.929825,3849597,330.31982458544
39478297.81203,3849597,329.95129845992
39478331.694236,3849597,329.5804061359
39478365.576441,3849597,329.20713690664
39478399.458647,3849597,328.83148039894
39478433.340852,3849597,328.45342659478
39478467.223058,3849597,328.07296585449
39478501.105263,3849597,327.69008894058
39478534.987469,3849597,327.30478704337
39478568.869674,3849597,326.91705180717
39478602.75188,3849597,326.52687535757
39478636.634085,3849597,326.13425033086
39478670.516291,3849597,325.73916990394
39478704.398496,3849597,325.34162782564
39478738.280702,3849597,324.94161845024
39478772.162907,3849597,324.53913677176
39478806.045113,3849597,324.13417845979
39478839.927318,3849597,323.72673989775
39478873.809524,3849597,323.31681822207
39478907.691729,3849597,322.9044113632
39478941.573935,3849597,322.4895180892
39478975.45614,3849597,322.07213805045
39479009.338346,3849597,321.65227182693
39479043.220551,3849597,321.22992097697
39479077.102757,3849597,320.80508808925
39479110.984962,3849597,320.37777683617
39479144.867168,3849597,319.94799202967
39479178.749373,3849597,319.51573968032
39479212.631579,3849597,319.08102705823
39479246.513784,3849597,318.6438627566
39479280.39599,3849597,318.20425675898
39479314.278195,3849597,317.7622205086
39479348.160401,3849597,317.3177669807
39479382.042607,3849597,316.87091075896
39479415.924812,3849597,316.42166811421
39479449.807018,3849597,315.97005708717
39479483.689223,3849597,315.51609757415
39479517.571429,3849597,315.05981141745
39479551.453634,3849597,314.60122249869
39479585.33584,3849597,314.14035683612
39479619.218045,3849597,313.67724268696
39479653.100251,3849597,313.21191065313
39479686.982456,3849597,312.74439379137
39479720.864662,3849597,312.27472772893
39479754.746867,3849597,311.80295078299
39479788.629073,3849597,311.32910408508
39479822.511278,3849597,310.85323171138
39479856.393484,3849597,310.37538081744
