Y,X,H
39475655,3849597,38.514433795749
39475688.882206,3849597,38.51468876081
39475722.764411,3849597,38.51496408256
39475756.646617,3849597,38.515260589679
39475790.528822,3849597,38.515579144367
39475824.411028,3849597,38.515920643721
39475858.293233,3849597,38.516286021173
39475892.175439,3849597,38.516676247981
39475926.057644,3849597,38.517092334773
39475959.93985,3849597,38.517535333156
39475993.822055,3849597,38.518006337375
39476027.704261,3849597,38.518506486038
39476061.586466,3849597,38.519036963898
39476095.468672,3849597,38.519599003699
39476129.350877,3849597,38.520193888082
39476163.233083,3849597,38.520822951549
39476197.115288,3849597,38.521487582499
39476230.997494,3849597,38.522189225313
39476264.879699,3849597,38.52292938251
39476298.761905,3849597,38.52370961695
39476332.64411,3849597,38.524531554109
39476366.526316,3849597,38.525396884396
39476400.408521,3849597,38.526307365527
39476434.290727,3849597,38.527264824945
39476468.172932,3849597,38.528271162285
39476502.055138,3849597,38.529328351873
39476535.937343,3849597,38.530438445259
39476569.819549,3849597,38.531603573766
39476603.701754,3849597,38.532825951054
39476637.58396,3849597,38.534107875691
39476671.466165,3849597,38.535451733704
39476705.348371,3849597,38.536860001105
39476739.230576,3849597,38.538335246382
39476773.112782,3849597,38.539880132916
39476806.994987,3849597,38.541497421322
39476840.877193,3849597,38.543189971683
39476874.759398,3849597,38.544960745636
39476908.641604,3849597,38.546812808302
39476942.52381,3849597,38.548749330013
39476976.406015,3849597,38.550773587789
39477010.288221,3849597,38.55288896654
39477044.170426,3849597,38.555098959927
39477078.052632,3849597,38.55740717085
39477111.934837,3849597,38.559817311476
39477145.817043,3849597,38.562333202772
39477179.699248,3849597,38.564958773458
39477213.581454,3849597,38.567698058297
39477247.463659,3849597,38.570555195661
39477281.345865,3849597,38.573534424262
39477315.22807,3849597,38.57664007896
39477349.110276,3849597,38.579876585546
39477382.992481,3849597,38.583248454397
39477416.874687,3849597,38.586760272861
39477450.756892,3849597,38.590416696287
39477484.639098,3849597,38.594222437539
39477518.521303,3849597,38.598182254892
39477552.403509,3849597,38.602300938147
39477586.285714,3849597,38.606583292853
39477620.16792,3849597,38.611034122495
39477654.050125,3849597,38.615658208508
39477687.932331,3849597,38.620460287999
39477721.814536,3849597,38.625445029078
39477755.696742,3849597,38.630617003651
39477789.578947,3849597,38.635980657646
39477823.461153,3849597,38.641540278574
39477857.343358,3849597,38.647299960393
39477891.225564,3849597,38.653263565702
39477925.107769,3849597,38.659434685271
39477958.989975,3849597,38.665816595004
39477992.87218,3849597,38.672412210484
39478026.754386,3849597,38.679224039264
39478060.636591,3849597,38.686254131182
39478094.518797,3849597,38.693504027001
39478128.401003,3849597,38.700974705767
39478162.283208,3849597,38.708666531361
39478196.165414,3849597,38.716579198733
39478230.047619,3849597,38.724711680472
39478263.929825,3849597,38.73306217434
39478297.81203,3849597,38.741628052502
39478331.694236,3849597,38.750405813247
39478365.576441,3849597,38.759391036018
39478399.458647,3849597,38.768578340567
39478433.340852,3849597,38.777961351139
39478467.223058,3849597,38.787532666505
39478501.105263,3849597,38.79728383669
39478534.987469,3849597,38.807205347141
39478568.869674,3849597,38.817286611081
39478602.75188,3849597,38.827515970636
39478636.634085,3849597,38.837880707209
39478670.516291,3849597,38.848367061506
39478704.398496,3849597,38.858960263363
39478738.280702,3849597,38.869644571396
39478772.162907,3849597,38.880403322327
39478806.045113,3849597,38.891218989605
39478839.927318,3849597,38.902073250718
39478873.809524,3849597,38.91294706246
39478907.691729,3849597,38.923820743185
39478941.573935,3849597,38.934674060858
39478975.45614,3849597,38.945486325669
39479009.338346,3849597,38.956236485743
39479043.220551,3849597,38.966903224472
39479077.102757,3849597,38.977465057874
39479110.984962,3849597,38.987900430473
39479144.867168,3849597,38.99818780818
39479178.749373,3849597,39.008305766753
39479212.631579,3849597,39.018233074639
39479246.513784,3849597,39.027948769132
39479280.39599,3849597,39.037432225035
39479314.278195,3849597,39.046663215362
39479348.160401,3849597,39.055621963846
39479382.042607,3849597,39.064289189394
39479415.924812,3849597,39.072646142964
39479449.807018,3849597,39.080674637666
39479483.689223,3849597,39.088357073186
39479517.571429,3849597,39.095676455915
39479551.453634,3849597,39.102616416432
39479585.33584,3849597,39.109161226104
39479619.218045,3849597,39.11529581472
39479653.100251,3849597,39.121005791098
39479686.982456,3849597,39.126277468555
39479720.864662,3849597,39.131097896974
39479754.746867,3849597,39.135454902999
39479788.629073,3849597,39.139337139571
39479822.511278,3849597,39.142734145586
39479856.393484,3849597,39.145636416024
39479890.275689,3849597,39.148035482314
39479924.157895,3849597,39.149924002129
39479958.0401,3849597,39.151295857182
39479991.922306,3849597,39.152146256966
39480025.804511,3849597,39.15247184578
39480059.686717,3849597,39.152270809851
39480093.568922,3849597,39.151542980899
39480127.451128,3849597,39.15028993216
39480161.333333,3849597,39.148515062698
39480195.215539,3849597,39.146223665829
39480229.097744,3849597,39.143422977624
39480262.97995,3849597,39.140122201854
39480296.862155,3849597,39.13633250825
39480330.744361,3849597,39.132067001665
39480364.626566,3849597,39.127340660605
39480398.508772,3849597,39.122170244476
39480432.390977,3849597,39.116574169947
39480466.273183,3849597,39.110572357828
39480500.155388,3849597,39.104186052806
39480534.037594,3849597,39.097437619285
39480567.919799,3849597,39.090350317329
39480601.802005,3849597,39.08294806333
39480635.684211,3849597,39.075255180408
39480669.566416,3849597,39.067296143857
39480703.448622,3849597,39.059095326968
39480737.330827,3849597,39.050676752459
39480771.213033,3849597,39.042063854432
39480805.095238,3849597,39.03327925542
39480838.977444,3849597,39.02434456244
39480872.859649,3849597,39.015280185402
